image,fiducial_count,all_detection_count
2026-05-06_11-21-06.jpg,2,2
2026-05-06_11-21-23.jpg,2,2
2026-05-06_11-21-27.jpg,2,2
2026-05-06_11-21-31.jpg,2,2
2026-05-06_11-21-35.jpg,2,2
2026-05-06_11-21-42.jpg,2,2
2026-05-06_11-21-45.jpg,2,2
2026-05-06_11-21-49.jpg,2,2
2026-05-06_11-21-52.jpg,2,2
2026-05-06_11-21-56.jpg,2,2
2026-05-06_11-22-06.jpg,2,2
2026-05-06_11-22-10.jpg,2,2
2026-05-06_11-22-14.jpg,2,2
2026-05-06_11-22-17.jpg,2,2
2026-05-06_11-22-21.jpg,2,2
2026-05-06_11-22-25.jpg,2,2
2026-05-06_11-22-30.jpg,2,2
2026-05-06_11-22-34.jpg,2,2
2026-05-06_11-22-37.jpg,2,2
2026-05-06_11-22-41.jpg,2,2
2026-05-06_11-22-48.jpg,2,2
2026-05-06_11-22-52.jpg,2,2
2026-05-06_11-22-55.jpg,2,2
2026-05-06_11-22-59.jpg,2,2
2026-05-06_11-23-03.jpg,2,2
2026-05-06_11-23-10.jpg,2,2
2026-05-06_11-23-14.jpg,2,2
2026-05-06_11-23-18.jpg,2,2
2026-05-06_11-23-22.jpg,2,2
2026-05-06_11-23-25.jpg,2,2
2026-05-06_11-23-33.jpg,2,2
2026-05-06_11-23-36.jpg,2,2
2026-05-06_11-23-40.jpg,2,2
2026-05-06_11-23-44.jpg,2,2
2026-05-06_11-23-47.jpg,2,2
2026-05-06_11-23-51.jpg,2,2
2026-05-06_11-23-54.jpg,2,2
2026-05-06_11-23-58.jpg,2,2
2026-05-06_11-24-01.jpg,2,2
2026-05-06_11-24-08.jpg,2,2
2026-05-06_11-24-12.jpg,2,2
2026-05-06_11-24-15.jpg,2,2
2026-05-06_11-24-18.jpg,2,2
2026-05-06_11-24-22.jpg,2,2
2026-05-06_11-24-30.jpg,2,2
2026-05-06_11-24-34.jpg,2,2
2026-05-06_11-24-37.jpg,2,2
2026-05-06_11-24-42.jpg,2,2
2026-05-06_11-24-48.jpg,2,2
2026-05-06_11-24-51.jpg,2,2
2026-05-06_11-24-55.jpg,2,2
2026-05-06_11-24-58.jpg,2,2
2026-05-06_11-25-02.jpg,2,2
2026-05-06_11-25-10.jpg,2,2
2026-05-06_11-25-14.jpg,2,2
2026-05-06_11-25-17.jpg,2,2
2026-05-06_11-25-21.jpg,2,2
2026-05-06_11-25-25.jpg,2,2
2026-05-06_11-25-28.jpg,2,2
2026-05-06_11-25-34.jpg,2,2
2026-05-06_11-25-38.jpg,2,2
2026-05-06_11-25-42.jpg,2,2
2026-05-06_11-25-46.jpg,2,2
2026-05-06_11-25-54.jpg,2,2
2026-05-06_11-25-57.jpg,2,2
2026-05-06_11-26-00.jpg,2,2
2026-05-06_11-26-04.jpg,2,2
2026-05-06_11-26-08.jpg,2,2
2026-05-06_11-26-11.jpg,2,2
2026-05-06_11-26-15.jpg,2,2
2026-05-06_11-26-18.jpg,2,2
2026-05-06_11-26-22.jpg,2,2
2026-05-06_11-26-25.jpg,2,2
2026-05-06_11-26-34.jpg,2,2
2026-05-06_11-26-38.jpg,2,2
2026-05-06_11-26-42.jpg,2,2
2026-05-06_11-26-46.jpg,2,2
2026-05-06_11-26-50.jpg,2,2
2026-05-06_11-26-56.jpg,2,2
2026-05-06_11-27-01.jpg,2,2
2026-05-06_11-27-09.jpg,2,2
2026-05-06_11-27-15.jpg,2,2
2026-05-06_11-27-22.jpg,2,2
2026-05-06_11-27-29.jpg,2,2
2026-05-06_11-27-33.jpg,2,2
2026-05-06_11-27-38.jpg,2,2
2026-05-06_11-27-41.jpg,2,2
2026-05-06_11-27-45.jpg,2,2
2026-05-06_11-27-48.jpg,2,2
2026-05-06_11-27-52.jpg,2,2
2026-05-06_11-27-59.jpg,2,2
2026-05-06_11-28-03.jpg,2,2
2026-05-06_11-28-07.jpg,2,2
2026-05-06_11-28-12.jpg,2,2
2026-05-06_11-28-15.jpg,2,2
2026-05-06_11-28-19.jpg,2,2
2026-05-06_11-28-24.jpg,2,2
2026-05-06_11-28-28.jpg,2,2
2026-05-06_11-28-33.jpg,2,2
2026-05-06_11-28-38.jpg,2,2
2026-05-06_11-28-48.jpg,2,2
2026-05-06_11-28-56.jpg,2,2
2026-05-06_11-29-02.jpg,2,2
